Temperature,Ice Cream Sales
-4.66226267722021,41.8429863202778
-4.31655944672547,34.6611195373602
-4.21398476459073,39.3830008768257
-3.94966108905157,37.5398448825013
-3.57855371622868,32.2845311878976
-3.45571169806558,30.0011384764173
-3.108440120891,22.6354012770126
-3.08130332430346,25.3650222120804
-2.67246082700645,19.2269700482541
-2.65228679293605,20.2796791784227
-2.65149803330013,13.2758284990025
-2.28826399848839,18.1239912127265
-2.1118696902973,11.2182944727893
-1.81893760943494,10.0128678483289
-1.6603477296372,12.6151811541523
-1.32637898349484,10.9577313355618
-1.17312326807783,6.68912263962587
-0.773330043103446,9.39296866110909
-0.673752801838036,5.21016261526629
-0.149634866533598,4.67364254054647
-0.036156497682687,0.328625516926642
-0.033895285571447,0.897603186749269
0.008607698731614,3.16560000795485
0.149244574046758,1.93141602870498
0.688780907610615,2.57678224461888
0.693598872529326,4.62568945752726
0.874905029158416,0.789973650507774
1.02418081381557,2.31380635817355
1.24071161877833,1.29236081076045
1.35981267413932,0.953115312409882
1.74000001226535,3.7825701357125
1.8505519258369,4.85798780114692
1.99931036903729,8.9438232087124
2.07510059657727,8.17073493579141
2.31859123963337,7.41209402837801
2.47194599733515,10.3366306248048
2.78483646332158,15.9966199682257
2.83176021131383,12.5682373936718
2.9599320914789,21.3429157412992
3.02087431426716,20.1144134612853
3.211366144342,22.8394055030345
3.27004406823868,16.9832787369723
3.31607251931185,25.1420822287958
3.33593241223555,26.1047404066766
3.61077847766804,28.9121879291919
3.70405743837722,17.8439565199135
4.13086796126075,34.5307427392815
4.13353378830359,27.6983833481304
4.89903151368867,41.5148219431663
